student
id;date_of_birth;email;emso;gender;name;phone_number;place_of_birth;register_number;sending_address;surname;tax_number;id_address1;id_address2;id_citizenship;id_country_of_birth;id_municipality_of_birth;id_study_program;id_login
17;NULL;ana.luza@gmail.com;NULL;-;Ana;NULL;NULL;63180015;1;Lužnik;NULL;NULL;NULL;NULL;NULL;NULL;1000468;20
18;NULL;bojciNovci@msn.com;NULL;-;Bojan;NULL;NULL;63180016;1;Novak;NULL;NULL;NULL;NULL;NULL;NULL;1000470;21
19;NULL;cenko@gmail.com;NULL;-;Cene;NULL;NULL;63180017;1;Cepec;NULL;NULL;NULL;NULL;NULL;NULL;1000470;22
20;NULL;kajA@gmail.si;NULL;-;Kaja;NULL;NULL;63180018;1;Tutaja;NULL;NULL;NULL;NULL;NULL;NULL;1000470;23
21;NULL;zeljko.csdc@gmail.com;NULL;-;Željko;NULL;NULL;63180019;1;Češneđović;NULL;NULL;NULL;NULL;NULL;NULL;1000470;24
22;NULL;blazka.csdc@gmail.com;NULL;-;Blazka;NULL;NULL;63180020;1;llalalalal;NULL;NULL;NULL;NULL;NULL;NULL;1000470;25
23;NULL;alenka.ferk127915_fake@gmail.com;NULL;-;Alenka;NULL;NULL;63180021;1;Ferk;NULL;NULL;NULL;NULL;NULL;NULL;1000468;26
24;NULL;alenka.kacjan995121_fake@gmail.com;NULL;-;Alenka;NULL;NULL;63180022;1;Kacjan;NULL;NULL;NULL;NULL;NULL;NULL;1000468;27
25;NULL;alenka.bojc57009_fake@gmail.com;NULL;-;Alenka;NULL;NULL;63180023;1;Bojc;NULL;NULL;NULL;NULL;NULL;NULL;1000468;28
26;NULL;alenka.peternel693325_fake@gmail.com;NULL;-;Alenka;NULL;NULL;63180024;1;Peternel;NULL;NULL;NULL;NULL;NULL;NULL;1000468;29
27;NULL;ana.ivanc790816_fake@gmail.com;NULL;-;Ana;NULL;NULL;63180025;1;Ivanc;NULL;NULL;NULL;NULL;NULL;NULL;1000468;30
28;NULL;ana.kacjan91721_fake@gmail.com;NULL;-;Ana;NULL;NULL;63180026;1;Kacjan;NULL;NULL;NULL;NULL;NULL;NULL;1000468;31
29;NULL;ana.jelinkar196019_fake@gmail.com;NULL;-;Ana;NULL;NULL;63180027;1;Jelinkar;NULL;NULL;NULL;NULL;NULL;NULL;1000468;32
30;NULL;ana.ankel75491_fake@gmail.com;NULL;-;Ana;NULL;NULL;63180028;1;Ankel;NULL;NULL;NULL;NULL;NULL;NULL;1000468;33
31;NULL;alen.destovnik132811_fake@gmail.com;NULL;-;Alen;NULL;NULL;63180029;1;Destovnik;NULL;NULL;NULL;NULL;NULL;NULL;1000468;34
32;NULL;alen.baraga45582_fake@gmail.com;NULL;-;Alen;NULL;NULL;63180030;1;Baraga;NULL;NULL;NULL;NULL;NULL;NULL;1000468;35
33;NULL;alen.kacjan960921_fake@gmail.com;NULL;-;Alen;NULL;NULL;63180031;1;Kacjan;NULL;NULL;NULL;NULL;NULL;NULL;1000468;36
34;NULL;alen.jeras32920_fake@gmail.com;NULL;-;Alen;NULL;NULL;63180032;1;Jeras;NULL;NULL;NULL;NULL;NULL;NULL;1000468;37
35;NULL;andrej.destovnik173611_fake@gmail.com;NULL;-;Andrej;NULL;NULL;63180033;1;Destovnik;NULL;NULL;NULL;NULL;NULL;NULL;1000468;38
36;NULL;andrej.jelinkar672119_fake@gmail.com;NULL;-;Andrej;NULL;NULL;63180034;1;Jelinkar;NULL;NULL;NULL;NULL;NULL;NULL;1000468;39
37;NULL;andrej.bizjak30414_fake@gmail.com;NULL;-;Andrej;NULL;NULL;63180035;1;Bizjak;NULL;NULL;NULL;NULL;NULL;NULL;1000468;40
38;NULL;andrej.arh7617_fake@gmail.com;NULL;-;Andrej;NULL;NULL;63180036;1;Arh;NULL;NULL;NULL;NULL;NULL;NULL;1000468;41
39;NULL;anton.ankel55801_fake@gmail.com;NULL;-;Anton;NULL;NULL;63180037;1;Ankel;NULL;NULL;NULL;NULL;NULL;NULL;1000468;42
40;NULL;anton.jelinkar739219_fake@gmail.com;NULL;-;Anton;NULL;NULL;63180038;1;Jelinkar;NULL;NULL;NULL;NULL;NULL;NULL;1000468;43
41;NULL;anton.dekleva671510_fake@gmail.com;NULL;-;Anton;NULL;NULL;63180039;1;Dekleva;NULL;NULL;NULL;NULL;NULL;NULL;1000468;44
42;NULL;anton.kacjan227121_fake@gmail.com;NULL;-;Anton;NULL;NULL;63180040;1;Kacjan;NULL;NULL;NULL;NULL;NULL;NULL;1000468;45
43;NULL;eva.dekleva415810_fake@gmail.com;NULL;-;Eva;NULL;NULL;63180041;1;Dekleva;NULL;NULL;NULL;NULL;NULL;NULL;1000468;46
44;NULL;eva.ferk209415_fake@gmail.com;NULL;-;Eva;NULL;NULL;63180042;1;Ferk;NULL;NULL;NULL;NULL;NULL;NULL;1000468;47
45;NULL;eva.polec249626_fake@gmail.com;NULL;-;Eva;NULL;NULL;63180043;1;Polec;NULL;NULL;NULL;NULL;NULL;NULL;1000468;48
46;NULL;eva.ivanc403516_fake@gmail.com;NULL;-;Eva;NULL;NULL;63180044;1;Ivanc;NULL;NULL;NULL;NULL;NULL;NULL;1000468;49
47;NULL;ivo.destovnik160511_fake@gmail.com;NULL;-;Ivo;NULL;NULL;63180045;1;Destovnik;NULL;NULL;NULL;NULL;NULL;NULL;1000468;50
48;NULL;ivo.bizjak4934_fake@gmail.com;NULL;-;Ivo;NULL;NULL;63180046;1;Bizjak;NULL;NULL;NULL;NULL;NULL;NULL;1000468;51
49;NULL;ivo.jager798517_fake@gmail.com;NULL;-;Ivo;NULL;NULL;63180047;1;Jager;NULL;NULL;NULL;NULL;NULL;NULL;1000468;52
50;NULL;ivo.ferk378715_fake@gmail.com;NULL;-;Ivo;NULL;NULL;63180048;1;Ferk;NULL;NULL;NULL;NULL;NULL;NULL;1000468;53
51;NULL;emil.baraga51942_fake@gmail.com;NULL;-;Emil;NULL;NULL;63180049;1;Baraga;NULL;NULL;NULL;NULL;NULL;NULL;1000468;54
52;NULL;emil.abram41770_fake@gmail.com;NULL;-;Emil;NULL;NULL;63180050;1;Abram;NULL;NULL;NULL;NULL;NULL;NULL;1000468;55
53;NULL;emil.destovnik656611_fake@gmail.com;NULL;-;Emil;NULL;NULL;63180051;1;Destovnik;NULL;NULL;NULL;NULL;NULL;NULL;1000468;56
54;NULL;emil.jakac86418_fake@gmail.com;NULL;-;Emil;NULL;NULL;63180052;1;Jakac;NULL;NULL;NULL;NULL;NULL;NULL;1000468;57
55;NULL;ida.dekleva333910_fake@gmail.com;NULL;-;Ida;NULL;NULL;63180053;1;Dekleva;NULL;NULL;NULL;NULL;NULL;NULL;1000468;58
56;NULL;ida.jager972017_fake@gmail.com;NULL;-;Ida;NULL;NULL;63180054;1;Jager;NULL;NULL;NULL;NULL;NULL;NULL;1000468;59
57;NULL;ida.polec758026_fake@gmail.com;NULL;-;Ida;NULL;NULL;63180055;1;Polec;NULL;NULL;NULL;NULL;NULL;NULL;1000468;60
58;NULL;ida.fernc824313_fake@gmail.com;NULL;-;Ida;NULL;NULL;63180056;1;Fernc;NULL;NULL;NULL;NULL;NULL;NULL;1000468;61
59;NULL;iza.kacjan894421_fake@gmail.com;NULL;-;Iza;NULL;NULL;63180057;1;Kacjan;NULL;NULL;NULL;NULL;NULL;NULL;1000468;62
60;NULL;iza.kacjan151521_fake@gmail.com;NULL;-;Iza;NULL;NULL;63180058;1;Kacjan;NULL;NULL;NULL;NULL;NULL;NULL;1000468;63
61;NULL;iza.fabinc361414_fake@gmail.com;NULL;-;Iza;NULL;NULL;63180059;1;Fabinc;NULL;NULL;NULL;NULL;NULL;NULL;1000468;64
62;NULL;iza.peternel585625_fake@gmail.com;NULL;-;Iza;NULL;NULL;63180060;1;Peternel;NULL;NULL;NULL;NULL;NULL;NULL;1000468;65
63;NULL;julijan.abram70930_fake@gmail.com;NULL;-;Julijan;NULL;NULL;63180061;1;Abram;NULL;NULL;NULL;NULL;NULL;NULL;1000468;66
64;NULL;julijan.bavec64485_fake@gmail.com;NULL;-;Julijan;NULL;NULL;63180062;1;Bavec;NULL;NULL;NULL;NULL;NULL;NULL;1000468;67
65;NULL;julijan.baraga32912_fake@gmail.com;NULL;-;Julijan;NULL;NULL;63180063;1;Baraga;NULL;NULL;NULL;NULL;NULL;NULL;1000468;68
66;NULL;julijan.peternel151025_fake@gmail.com;NULL;-;Julijan;NULL;NULL;63180064;1;Peternel;NULL;NULL;NULL;NULL;NULL;NULL;1000468;69
67;NULL;jan.baraga7252_fake@gmail.com;NULL;-;Jan;NULL;NULL;63180065;1;Baraga;NULL;NULL;NULL;NULL;NULL;NULL;1000468;70
68;NULL;jan.pavlin112224_fake@gmail.com;NULL;-;Jan;NULL;NULL;63180066;1;Pavlin;NULL;NULL;NULL;NULL;NULL;NULL;1000468;71
69;NULL;jan.ferk692615_fake@gmail.com;NULL;-;Jan;NULL;NULL;63180067;1;Ferk;NULL;NULL;NULL;NULL;NULL;NULL;1000468;72
70;NULL;jan.fabinc120214_fake@gmail.com;NULL;-;Jan;NULL;NULL;63180068;1;Fabinc;NULL;NULL;NULL;NULL;NULL;NULL;1000468;73
71;NULL;luka.bizjak99474_fake@gmail.com;NULL;-;Luka;NULL;NULL;63180069;1;Bizjak;NULL;NULL;NULL;NULL;NULL;NULL;1000468;74
72;NULL;luka.kacjan765321_fake@gmail.com;NULL;-;Luka;NULL;NULL;63180070;1;Kacjan;NULL;NULL;NULL;NULL;NULL;NULL;1000468;75
73;NULL;luka.polec582226_fake@gmail.com;NULL;-;Luka;NULL;NULL;63180071;1;Polec;NULL;NULL;NULL;NULL;NULL;NULL;1000468;76
74;NULL;luka.bojc22339_fake@gmail.com;NULL;-;Luka;NULL;NULL;63180072;1;Bojc;NULL;NULL;NULL;NULL;NULL;NULL;1000468;77
75;NULL;nejc.bavec255_fake@gmail.com;NULL;-;Nejc;NULL;NULL;63180073;1;Bavec;NULL;NULL;NULL;NULL;NULL;NULL;1000468;78
76;NULL;nejc.baraga42342_fake@gmail.com;NULL;-;Nejc;NULL;NULL;63180074;1;Baraga;NULL;NULL;NULL;NULL;NULL;NULL;1000468;79
77;NULL;nejc.ivanc792216_fake@gmail.com;NULL;-;Nejc;NULL;NULL;63180075;1;Ivanc;NULL;NULL;NULL;NULL;NULL;NULL;1000468;80
78;NULL;nejc.ankel10671_fake@gmail.com;NULL;-;Nejc;NULL;NULL;63180076;1;Ankel;NULL;NULL;NULL;NULL;NULL;NULL;1000468;81
79;NULL;milan.destovnik885011_fake@gmail.com;NULL;-;Milan;NULL;NULL;63180077;1;Destovnik;NULL;NULL;NULL;NULL;NULL;NULL;1000468;82
80;NULL;milan.kacjan626621_fake@gmail.com;NULL;-;Milan;NULL;NULL;63180078;1;Kacjan;NULL;NULL;NULL;NULL;NULL;NULL;1000468;83
81;NULL;milan.fabinc567314_fake@gmail.com;NULL;-;Milan;NULL;NULL;63180079;1;Fabinc;NULL;NULL;NULL;NULL;NULL;NULL;1000468;84
82;NULL;milan.bojc2149_fake@gmail.com;NULL;-;Milan;NULL;NULL;63180080;1;Bojc;NULL;NULL;NULL;NULL;NULL;NULL;1000468;85
83;NULL;nik.peternel108425_fake@gmail.com;NULL;-;Nik;NULL;NULL;63180081;1;Peternel;NULL;NULL;NULL;NULL;NULL;NULL;1000468;86
84;NULL;nik.avbelj37856_fake@gmail.com;NULL;-;Nik;NULL;NULL;63180082;1;Avbelj;NULL;NULL;NULL;NULL;NULL;NULL;1000468;87
85;NULL;nik.abram62190_fake@gmail.com;NULL;-;Nik;NULL;NULL;63180083;1;Abram;NULL;NULL;NULL;NULL;NULL;NULL;1000468;88
86;NULL;nik.abram74760_fake@gmail.com;NULL;-;Nik;NULL;NULL;63180084;1;Abram;NULL;NULL;NULL;NULL;NULL;NULL;1000468;89
87;NULL;nina.bavec29065_fake@gmail.com;NULL;-;Nina;NULL;NULL;63180085;1;Bavec;NULL;NULL;NULL;NULL;NULL;NULL;1000468;90
88;NULL;nina.destovnik183611_fake@gmail.com;NULL;-;Nina;NULL;NULL;63180086;1;Destovnik;NULL;NULL;NULL;NULL;NULL;NULL;1000468;91
89;NULL;nina.jurgec42922_fake@gmail.com;NULL;-;Nina;NULL;NULL;63180087;1;Jurgec;NULL;NULL;NULL;NULL;NULL;NULL;1000468;92
90;NULL;nina.peternel276125_fake@gmail.com;NULL;-;Nina;NULL;NULL;63180088;1;Peternel;NULL;NULL;NULL;NULL;NULL;NULL;1000468;93
91;NULL;tom.kacjan893521_fake@gmail.com;NULL;-;Tom;NULL;NULL;63180089;1;Kacjan;NULL;NULL;NULL;NULL;NULL;NULL;1000468;94
92;NULL;tom.jeras664620_fake@gmail.com;NULL;-;Tom;NULL;NULL;63180090;1;Jeras;NULL;NULL;NULL;NULL;NULL;NULL;1000468;95
93;NULL;tom.fernc1413_fake@gmail.com;NULL;-;Tom;NULL;NULL;63180091;1;Fernc;NULL;NULL;NULL;NULL;NULL;NULL;1000468;96
94;NULL;tom.dekleva880910_fake@gmail.com;NULL;-;Tom;NULL;NULL;63180092;1;Dekleva;NULL;NULL;NULL;NULL;NULL;NULL;1000468;97
12;1996-02-10;rberdnik.fake@gmail.com;1002996505169;Ž;Rok;123456789;Nekje daleč stran;63180009;1;Berdnik;12345678;6;7;705;705;1;1000468;15
95;NULL;sara.bavcar.fake@gmail.com;NULL;-;Sara;NULL;NULL;63180100;1;Bavčar;NULL;NULL;NULL;NULL;NULL;NULL;1000468;105
96;NULL;robert.bogataj.fake@gmail.com;NULL;-;Robert;NULL;NULL;63180101;1;Bogataj;NULL;NULL;NULL;NULL;NULL;NULL;1000468;106
97;NULL;tjasa.globokar.fake@gmail.com;NULL;-;Tjaša;NULL;NULL;63180102;1;Globokar;NULL;NULL;NULL;NULL;NULL;NULL;1000468;107
98;NULL;domen.kalan.fake@gmail.com;NULL;-;Domen;NULL;NULL;63180103;1;Kalan;NULL;NULL;NULL;NULL;NULL;NULL;1000468;108
99;NULL;zan.robas.fake@gmail.com;NULL;-;Žan;NULL;NULL;63180104;1;Robas;NULL;NULL;NULL;NULL;NULL;NULL;1000468;109
100;NULL;nejc.zavrsnik.fake@gmail.com;NULL;-;Nejc;NULL;NULL;63180105;1;Završnik;NULL;NULL;NULL;NULL;NULL;NULL;1000468;110
101;NULL;jan.avsenik.fake@gmail.com;NULL;-;Jan;NULL;NULL;63180119;1;Avsenik;NULL;NULL;NULL;NULL;NULL;NULL;1000468;111
102;NULL;rok.cerar.fake@gmail.com;NULL;-;Rok;NULL;NULL;63180120;1;Cerar;NULL;NULL;NULL;NULL;NULL;NULL;1000468;112
103;NULL;lara.demsar.fake@gmail.com;NULL;-;Lara;NULL;NULL;63180121;1;Demšar;NULL;NULL;NULL;NULL;NULL;NULL;1000468;113
104;NULL;iztok.fabiani.fake@gmail.com;NULL;-;Iztok;NULL;NULL;63180122;1;Fabiani;NULL;NULL;NULL;NULL;NULL;NULL;1000468;114
105;NULL;luka.flander.fake@gmail.com;NULL;-;Luka;NULL;NULL;63180123;1;Flander;NULL;NULL;NULL;NULL;NULL;NULL;1000468;115
106;NULL;zoran.hafner.fake@gmail.com;NULL;-;Zoran;NULL;NULL;63180124;1;Hafner;NULL;NULL;NULL;NULL;NULL;NULL;1000468;116
107;NULL;nina.jaklic.fake@gmail.com;NULL;-;Nina;NULL;NULL;63180125;1;Jaklič;NULL;NULL;NULL;NULL;NULL;NULL;1000468;117
108;NULL;ziva.jarc.fake@gmail.com;NULL;-;Živa;NULL;NULL;63180126;1;Jarc;NULL;NULL;NULL;NULL;NULL;NULL;1000468;118
109;NULL;joze.rop.fake@gmail.com;NULL;-;Jože;NULL;NULL;63180148;1;Rop;NULL;NULL;NULL;NULL;NULL;NULL;1000468;119
110;NULL;nika.bartol.fake@gmail.com;NULL;-;Nika;NULL;NULL;63180149;1;Bartol;NULL;NULL;NULL;NULL;NULL;NULL;1000468;120
111;NULL;marko.birsa.fake@gmail.com;NULL;-;Marko;NULL;NULL;63180150;1;Birsa;NULL;NULL;NULL;NULL;NULL;NULL;1000468;121
